"filename", "language", "JSON", "Markdown", "JSON with Comments", "Pug", "JavaScript", "HTML", "Vue", "SCSS", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\杨易卓-毕业论文\graduation-project\admins\src\store\getters.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\杨易卓-毕业论文\graduation-project\admins\src\store\index.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\app.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\settings.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 7, 33
"d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\user.js", "JavaScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 4, 13, 98
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 10, 50
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 11, 66
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\mixin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 6, 41, 227
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 10, 49
"d:\杨易卓-毕业论文\graduation-project\admins\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 5, 26
"d:\杨易卓-毕业论文\graduation-project\admins\src\utils\auth.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\杨易卓-毕业论文\graduation-project\admins\src\utils\get-page-title.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\杨易卓-毕业论文\graduation-project\admins\src\utils\index.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 23, 7, 118
"d:\杨易卓-毕业论文\graduation-project\admins\src\utils\request.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 21, 9, 86
"d:\杨易卓-毕业论文\graduation-project\admins\src\utils\validate.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 11, 3, 21
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 4, 229
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\dashboard\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\form\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 3, 25, 238
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-1\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\menu1-2-1\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\menu1-2-2\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-3\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu2\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\table\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"d:\杨易卓-毕业论文\graduation-project\admins\src\views\tree\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 14, 5, 99
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\Hamburger.spec.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\SvgIcon.spec.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\formatTime.spec.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\param2Obj.spec.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\parseTime.spec.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\validate.spec.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\杨易卓-毕业论文\graduation-project\admins\vue.config.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 23, 8, 125
"d:\杨易卓-毕业论文\graduation-project\client\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32
"d:\杨易卓-毕业论文\graduation-project\client\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\杨易卓-毕业论文\graduation-project\client\package-lock.json", "JSON", 12615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12616
"d:\杨易卓-毕业论文\graduation-project\client\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\杨易卓-毕业论文\graduation-project\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 3, 32
"d:\杨易卓-毕业论文\graduation-project\client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 4, 72
"d:\杨易卓-毕业论文\graduation-project\client\src\components\add-dialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 24, 10, 310
"d:\杨易卓-毕业论文\graduation-project\client\src\components\background-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 6, 89
"d:\杨易卓-毕业论文\graduation-project\client\src\components\no-data.vue", "Vue", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\杨易卓-毕业论文\graduation-project\client\src\components\search-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 4, 68
"d:\杨易卓-毕业论文\graduation-project\client\src\components\upload.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 7, 4, 105
"d:\杨易卓-毕业论文\graduation-project\client\src\lib\config.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 59
"d:\杨易卓-毕业论文\graduation-project\client\src\main.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 4, 28
"d:\杨易卓-毕业论文\graduation-project\client\src\router\index.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 20, 5, 91
"d:\杨易卓-毕业论文\graduation-project\client\src\store\index.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 6, 62
"d:\杨易卓-毕业论文\graduation-project\client\src\utils\http.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 5, 47
"d:\杨易卓-毕业论文\graduation-project\client\src\utils\rem.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 7, 0, 16
"d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\detail.vue", "Vue", 0, 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 26, 32, 606
"d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\personal-dynamic.vue", "Vue", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 21, 15, 414
"d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\personal.vue", "Vue", 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 18, 9, 341
"d:\杨易卓-毕业论文\graduation-project\client\src\views\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 4, 8, 181
"d:\杨易卓-毕业论文\graduation-project\client\src\views\help.vue", "Vue", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 7, 6, 193
"d:\杨易卓-毕业论文\graduation-project\client\src\views\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 2, 5, 70
"d:\杨易卓-毕业论文\graduation-project\client\src\views\login.vue", "Vue", 0, 0, 0, 0, 0, 0, 473, 0, 0, 0, 0, 24, 21, 518
"d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\auction.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 4, 68
"d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\entertainment.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 4, 68
"d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\friends.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 4, 68
"d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\questions.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 4, 68
"d:\杨易卓-毕业论文\graduation-project\client\src\views\notFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\杨易卓-毕业论文\graduation-project\client\vue.config.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 2, 27
"d:\杨易卓-毕业论文\graduation-project\sever\app.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 10, 11, 60
"d:\杨易卓-毕业论文\graduation-project\sever\auth\index.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 2, 31
"d:\杨易卓-毕业论文\graduation-project\sever\config\db.config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\杨易卓-毕业论文\graduation-project\sever\controllers\adminController.js", "JavaScript", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 16, 17, 294
"d:\杨易卓-毕业论文\graduation-project\sever\controllers\dynamicController.js", "JavaScript", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 21, 17, 191
"d:\杨易卓-毕业论文\graduation-project\sever\controllers\userController.js", "JavaScript", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 5, 6, 95
"d:\杨易卓-毕业论文\graduation-project\sever\models\adminModel.js", "JavaScript", 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 27, 28, 283
"d:\杨易卓-毕业论文\graduation-project\sever\models\db.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\杨易卓-毕业论文\graduation-project\sever\models\dynamicModel.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 17, 18, 115
"d:\杨易卓-毕业论文\graduation-project\sever\models\userModel.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 6, 55
"d:\杨易卓-毕业论文\graduation-project\sever\package-lock.json", "JSON", 3992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3993
"d:\杨易卓-毕业论文\graduation-project\sever\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\杨易卓-毕业论文\graduation-project\sever\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\杨易卓-毕业论文\graduation-project\sever\routes\admin.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 16, 20, 69
"d:\杨易卓-毕业论文\graduation-project\sever\routes\dynamic.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 14, 17, 50
"d:\杨易卓-毕业论文\graduation-project\sever\routes\users.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 10, 42
"d:\杨易卓-毕业论文\graduation-project\sever\utils\dateTimeUtil.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3
"d:\杨易卓-毕业论文\graduation-project\sever\views\error.pug", "Pug", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\杨易卓-毕业论文\graduation-project\sever\views\index.pug", "Pug", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\杨易卓-毕业论文\graduation-project\sever\views\layout.pug", "Pug", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 29425, 265, 5, 16, 3064, 72, 8696, 346, 10, 11, 7, 821, 1145, 43883